FrameTimeStamp: 00:00:00:33, Object: Tiger, Probability: 97.02%
FrameTimeStamp: 00:00:00:66, Object: Tiger, Probability: 97.09%
FrameTimeStamp: 00:00:00:99, Object: Tiger, Probability: 97.26%
FrameTimeStamp: 00:00:00:132, Object: Tiger, Probability: 97.32%
FrameTimeStamp: 00:00:00:165, Object: Tiger, Probability: 97.22%
FrameTimeStamp: 00:00:00:198, Object: Tiger, Probability: 97.10%
FrameTimeStamp: 00:00:00:231, Object: Tiger, Probability: 97.00%
FrameTimeStamp: 00:00:00:264, Object: Tiger, Probability: 97.03%
FrameTimeStamp: 00:00:00:297, Object: Tiger, Probability: 97.03%
FrameTimeStamp: 00:00:00:330, Object: Tiger, Probability: 97.22%
FrameTimeStamp: 00:00:00:363, Object: Tiger, Probability: 96.88%
FrameTimeStamp: 00:00:00:396, Object: Tiger, Probability: 96.72%
FrameTimeStamp: 00:00:00:429, Object: Tiger, Probability: 96.94%
FrameTimeStamp: 00:00:00:462, Object: Tiger, Probability: 96.97%
FrameTimeStamp: 00:00:00:495, Object: Tiger, Probability: 96.86%
FrameTimeStamp: 00:00:00:528, Object: Tiger, Probability: 96.99%
FrameTimeStamp: 00:00:00:561, Object: Tiger, Probability: 96.90%
FrameTimeStamp: 00:00:00:594, Object: Tiger, Probability: 97.01%
FrameTimeStamp: 00:00:00:627, Object: Tiger, Probability: 96.95%
FrameTimeStamp: 00:00:00:660, Object: Tiger, Probability: 97.00%
FrameTimeStamp: 00:00:00:693, Object: Tiger, Probability: 96.96%
FrameTimeStamp: 00:00:00:726, Object: Tiger, Probability: 96.98%
FrameTimeStamp: 00:00:00:759, Object: Tiger, Probability: 96.96%
FrameTimeStamp: 00:00:00:792, Object: Tiger, Probability: 96.98%
FrameTimeStamp: 00:00:00:825, Object: Tiger, Probability: 96.97%
FrameTimeStamp: 00:00:00:858, Object: Tiger, Probability: 96.98%
FrameTimeStamp: 00:00:00:891, Object: Tiger, Probability: 96.97%
FrameTimeStamp: 00:00:00:924, Object: Tiger, Probability: 96.96%
FrameTimeStamp: 00:00:00:957, Object: Tiger, Probability: 96.96%
FrameTimeStamp: 00:00:00:990, Object: Tiger, Probability: 96.98%
FrameTimeStamp: 00:00:01:23, Object: Sports car, Probability: 23.25%
FrameTimeStamp: 00:00:01:56, Object: Sports car, Probability: 24.17%
FrameTimeStamp: 00:00:01:89, Object: Sports car, Probability: 23.00%
FrameTimeStamp: 00:00:01:122, Object: Sports car, Probability: 22.63%
FrameTimeStamp: 00:00:01:155, Object: Sports car, Probability: 23.18%
FrameTimeStamp: 00:00:01:188, Object: Sports car, Probability: 23.71%
FrameTimeStamp: 00:00:01:221, Object: Sports car, Probability: 23.84%
FrameTimeStamp: 00:00:01:254, Object: Sports car, Probability: 23.74%
FrameTimeStamp: 00:00:01:287, Object: Sports car, Probability: 23.76%
FrameTimeStamp: 00:00:01:320, Object: Sports car, Probability: 23.50%
FrameTimeStamp: 00:00:01:353, Object: Sports car, Probability: 23.69%
FrameTimeStamp: 00:00:01:386, Object: Sports car, Probability: 23.72%
FrameTimeStamp: 00:00:01:419, Object: Sports car, Probability: 23.69%
FrameTimeStamp: 00:00:01:452, Object: Sports car, Probability: 23.50%
FrameTimeStamp: 00:00:01:485, Object: Sports car, Probability: 23.51%
FrameTimeStamp: 00:00:01:518, Object: Sports car, Probability: 23.51%
FrameTimeStamp: 00:00:01:551, Object: Sports car, Probability: 23.51%
FrameTimeStamp: 00:00:01:584, Object: Sports car, Probability: 24.28%
FrameTimeStamp: 00:00:01:617, Object: Sports car, Probability: 24.30%
FrameTimeStamp: 00:00:01:650, Object: Sports car, Probability: 24.30%
FrameTimeStamp: 00:00:01:683, Object: Sports car, Probability: 24.30%
FrameTimeStamp: 00:00:01:716, Object: Sports car, Probability: 23.51%
FrameTimeStamp: 00:00:01:749, Object: Sports car, Probability: 24.29%
FrameTimeStamp: 00:00:01:782, Object: Sports car, Probability: 24.32%
FrameTimeStamp: 00:00:01:815, Object: Sports car, Probability: 24.29%
FrameTimeStamp: 00:00:01:848, Object: Sports car, Probability: 23.51%
FrameTimeStamp: 00:00:01:881, Object: Sports car, Probability: 23.54%
FrameTimeStamp: 00:00:01:914, Object: Sports car, Probability: 23.54%
FrameTimeStamp: 00:00:01:947, Object: Sports car, Probability: 23.54%
FrameTimeStamp: 00:00:01:980, Object: Sports car, Probability: 23.51%
FrameTimeStamp: 00:00:02:13, Object: Tusker, Probability: 45.59%
FrameTimeStamp: 00:00:02:46, Object: Tusker, Probability: 45.51%
FrameTimeStamp: 00:00:02:79, Object: Tusker, Probability: 45.69%
FrameTimeStamp: 00:00:02:112, Object: Tusker, Probability: 45.57%
FrameTimeStamp: 00:00:02:145, Object: Tusker, Probability: 45.74%
FrameTimeStamp: 00:00:02:178, Object: Tusker, Probability: 45.46%
FrameTimeStamp: 00:00:02:211, Object: Tusker, Probability: 45.44%
FrameTimeStamp: 00:00:02:244, Object: Tusker, Probability: 45.44%
FrameTimeStamp: 00:00:02:277, Object: Tusker, Probability: 45.44%
FrameTimeStamp: 00:00:02:310, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:343, Object: Tusker, Probability: 45.45%
FrameTimeStamp: 00:00:02:376, Object: Tusker, Probability: 45.45%
FrameTimeStamp: 00:00:02:409, Object: Tusker, Probability: 45.45%
FrameTimeStamp: 00:00:02:442, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:475, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:508, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:541, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:574, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:607, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:640, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:673, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:706, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:739, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:772, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:805, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:838, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:871, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:904, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:937, Object: Tusker, Probability: 45.49%
FrameTimeStamp: 00:00:02:970, Object: Tusker, Probability: 45.49%
